Sale_ID,Medicine_Name,Category,Region,City,Quantity_Sold,Unit_Price,Sale_Date,Sales_Rep,Discount_Percent
146,Amlodipine ,Bp,NORTH,Delhi,500,120,6/14/2026,PRIYA SHARMA,
147,Atorvastatin ,cholesterol,north,Chennai,10,120,8/6/2026,Priya Sharma ,5
148,Multivitamin,Supplement,SOUTH ,Chennai,100,30.5,5/1/2026,Rohit Verma,10
149,pantoprazole,GASTRO,West,Bangalore,300,100,5/10/2026,karan mehta,10
150, Metformin,Diabetes,West ,Pune,250,,2/19/2026,rohit verma,15
151,Aspirin,Painkiller ,South,Pune,20,15,4/4/2026,Aman Kumar ,5
152,omeprazole,GASTRO,East,Jaipur,300,10.5,4/16/2026,Divya Rao,15
153, Atorvastatin,cholesterol,EAST,Delhi,200,120,2/21/2026,rohit verma,0
154, Aspirin,Painkiller ,South,Mumbai,150,75,7/26/2026,ROHIT VERMA,
155,VITAMIN C, Supplement,South,Kolkata,,25,8/17/2026,Aman Kumar,5
156,LORATADINE,antihistamine,east,Mumbai,100,30.5,2/16/2026,divya rao,0
157,Diclofenac ,Painkiller,North ,Chennai,200,120,5/3/2026,karan mehta,0
158,RANITIDINE,Gastro,WEST,Bangalore,,100,7/20/2026,Divya Rao,20
159, Ciprofloxacin,Antibiotic,South,Pune,10,45,7/27/2026,ROHIT VERMA,
160,INSULIN,diabetes,south,Delhi,50,20,3/18/2026,priya sharma,15
161,Aspirin,Painkiller,South,Delhi,50,30.5,2/18/2026,Rohit Verma ,10
162,Atorvastatin,CHOLESTEROL,South,Chennai,100,100,7/19/2026,karan mehta,
163,ASPIRIN,Painkiller ,north,Delhi,50,45,6/15/2026,,
164,Insulin,Diabetes ,NORTH,Jaipur,100,,4/14/2026,SNEHA GUPTA,
165,Ibuprofen,Painkiller ,South,Bangalore,150,120,6/3/2026,DIVYA RAO,0
166,insulin, Diabetes,West,Delhi,-5,5,6/23/2026,Priya Sharma ,5
167,insulin,DIABETES,NORTH,Delhi,100,5,2/4/2026,,5
168,diclofenac,Painkiller ,north,Chennai,100,15,1/6/2026,Rohit Verma ,
169,Ranitidine,Gastro ,North ,Jaipur,10,60,6/22/2026,Priya Sharma,5
170,Aspirin,Bp,South,Hyderabad,20,100,3/14/2026,aman kumar,10
171, Pantoprazole,Gastro,west,Mumbai,150,100,4/3/2026,SNEHA GUPTA,20
172,pantoprazole,Gastro,NORTH,Bangalore,10,20,5/3/2026,Priya Sharma,10
173,Losartan,bp,South,Bangalore,20,60,8/26/2026,karan mehta,10
174,Aspirin,Cholesterol ,north,Delhi,20,5,4/9/2026,AMAN KUMAR,5
175,metformin, Diabetes,EAST,Mumbai,250,20,8/2/2026,Priya Sharma,
176,Loratadine, Antihistamine,West ,Bangalore,10,15,7/21/2026,Aman Kumar ,20
177,Metformin,Diabetes ,WEST,Delhi,500,25,2/4/2026,Rohit Verma,20
178, Insulin,DIABETES,South,Hyderabad,500,10.5,3/12/2026,sneha gupta,
179,amoxicillin,Antibiotic ,west,Bangalore,-5,50,7/26/2026,KARAN MEHTA,0
180,Insulin,Diabetes,South,Hyderabad,250,,26/01/2026,rohit verma,
181,VITAMIN C,supplement,North ,Delhi,20,15,28/05/2026,DIVYA RAO,15
182,Insulin,Diabetes,East,Pune,20,20,15/02/2026,KARAN MEHTA,5
183,Ciprofloxacin,ANTIBIOTIC,North ,Jaipur,250,5,3/1/2026,aman kumar,10
184,aspirin, Painkiller,South,Kolkata,-15,75,2/5/2026,SNEHA GUPTA,15
185,Aspirin,Painkiller,WEST,Bangalore,,30.5,6/9/2026,Priya Sharma ,0
186,GLIMEPIRIDE,DIABETES,South,Mumbai,10,45,8/3/2026,Rohit Verma ,15
187,Paracetamol ,Painkiller,West ,Mumbai,20,30.5,8/15/2026,aman kumar,
188,Ibuprofen ,bp,West ,Mumbai,150,8,1/17/2026,aman kumar,15
189,Omeprazole,GASTRO,South,Chennai,300,15,7/28/2026,DIVYA RAO,0
190,Aspirin,Painkiller ,South,Hyderabad,-15,5,6/9/2026,Priya Sharma,20
191,Glimepiride ,DIABETES,east,Bangalore,-15,120,4/3/2026,KARAN MEHTA,10
192,azithromycin, Antibiotic,south,Jaipur,-15,150,7/17/2026,sneha gupta,10
193,Pantoprazole,Gastro,west,,100,,2/6/2026,rohit verma,0
194,Insulin , Diabetes,East,Hyderabad,30,45,4/24/2026,,
195,Amoxicillin,Antihistamine,West ,Bangalore,-15,150,8/13/2026,Karan Mehta,10
196,Ibuprofen,painkiller,WEST,Delhi,50,60,7/9/2026,ROHIT VERMA,5
197,Metformin,DIABETES,WEST,Mumbai,50,150,4/15/2026,DIVYA RAO,5
198, Ranitidine,gastro,West ,Hyderabad,500,150,4/5/2026,divya rao,0
199, Amlodipine,bp,West ,Kolkata,-5,120,8/27/2026,Priya Sharma ,20
200,Ibuprofen,painkiller,North ,Jaipur,-15,45,3/8/2026,sneha gupta,
201,Ranitidine,Gastro ,north,Jaipur,,60,3/21/2026,Sneha Gupta ,10
202, Atorvastatin,Cholesterol,east,Jaipur,-15,15,2/24/2026,Divya Rao,5
203,Amoxicillin ,Antibiotic ,East,Delhi,20,30.5,3/18/2026,priya sharma,15
204,GLIMEPIRIDE,Diabetes,West,Kolkata,50,120,7/2/2026,Sneha Gupta,5
205,Atorvastatin, Cholesterol,east,Chennai,30,,23/08/2026,divya rao,0
206, Diclofenac,painkiller,south,Hyderabad,200,25,7/3/2026,Sneha Gupta,10
207,IBUPROFEN,PAINKILLER,EAST,Mumbai,75,100,6/9/2026,,15
208,Multivitamin,Supplement,South,Hyderabad,-5,100,4/5/2026,KARAN MEHTA,10
209,Glimepiride ,Diabetes,WEST,Jaipur,-5,,20/06/2026,Sneha Gupta,0
210,amlodipine, BP,West ,Mumbai,10,5,2/14/2026,PRIYA SHARMA,10
211,ATORVASTATIN, Cholesterol,North ,Mumbai,150,50,2/12/2026,aman kumar,20
212,AMLODIPINE,BP,West,,150,120,2/19/2026,ROHIT VERMA,20
213,insulin,PAINKILLER,South,Hyderabad,150,10.5,8/23/2026,Rohit Verma,0
214,Paracetamol,Painkiller,North,Pune,500,8,16/03/2026,divya rao,0
215,Azithromycin,Antibiotic,West ,Mumbai,150,5,6/11/2026,ROHIT VERMA,10
216,Vitamin C ,Supplement, East,Mumbai,200,45,17/06/2026,sneha gupta,0
217,Pantoprazole ,Antihistamine ,west,Mumbai,75,5,5/23/2026,Priya Sharma ,
218,insulin,Diabetes ,North ,Mumbai,75,20,4/3/2026,karan mehta,20
219,Ibuprofen,painkiller, East,Bangalore,75,25,8/27/2026,KARAN MEHTA,5
220,Aspirin,SUPPLEMENT,SOUTH ,Chennai,250,100,3/5/2026,Divya Rao ,
221,Ibuprofen,painkiller,west,Hyderabad,250,100,1/19/2026,sneha gupta,0
222,Omeprazole ,Gastro ,NORTH,Chennai,150,25,7/26/2026,Rohit Verma,15
223,omeprazole, Gastro,East,Mumbai,20,25,14/04/2026,Divya Rao ,20
224, Multivitamin,SUPPLEMENT,South,Hyderabad,250,45,3/28/2026,rohit verma,
225,Ibuprofen,PAINKILLER,West ,Mumbai,150,25,5/17/2026,aman kumar,10
226,Losartan,BP ,west,Kolkata,250,75,1/22/2026,Aman Kumar ,
227,Vitamin C,Gastro,south,Chennai,50,75,2/3/2026,Rohit Verma ,0
228,Ranitidine,Gastro,south,Mumbai,20,100,2/10/2026,SNEHA GUPTA,20
229, Omeprazole,gastro,south,Delhi,100,100,7/3/2026,ROHIT VERMA,15
230,Ibuprofen, Painkiller,South,Chennai,-5,150,5/27/2026,Aman Kumar,20
231,Aspirin ,Painkiller,WEST,Chennai,,75,8/2/2026,,20
232,azithromycin,Antibiotic,east,Jaipur,20,,27/07/2026,AMAN KUMAR,5
233,Azithromycin ,Antibiotic ,West,Kolkata,250,75,3/21/2026,AMAN KUMAR,0
234,omeprazole,GASTRO,WEST,Pune,-5,25,1/14/2026,Sneha Gupta,5
235, Omeprazole,Gastro ,SOUTH ,,150,8,8/25/2026,karan mehta,5
236,Paracetamol ,painkiller,South,Jaipur,-5,100,4/20/2026,rohit verma,
237,azithromycin,Antibiotic,west,Chennai,300,60,3/26/2026,aman kumar,10
238,Pantoprazole,Gastro, East,Pune,250,150,3/12/2026,Priya Sharma ,
239,Ranitidine,Gastro ,south,Hyderabad,100,100,11/2/2026,Rohit Verma ,10
240,Paracetamol ,Painkiller,EAST,Mumbai,250,30.5,6/23/2026,Priya Sharma,5
241,amoxicillin,antibiotic,SOUTH ,Delhi,500,60,8/18/2026,Sneha Gupta,20
242,Aspirin,painkiller,east,Delhi,500,45,7/14/2026,aman kumar,0
243,AZITHROMYCIN,Antibiotic,west,Mumbai,100,,7/26/2026,aman kumar,5
244,Azithromycin,diabetes,east,Bangalore,,50,6/10/2026,PRIYA SHARMA,10
245, Pantoprazole,Gastro,west,Mumbai,150,100,4/3/2026,SNEHA GUPTA,20
246,Atorvastatin ,Cholesterol,south,Jaipur,75,30.5,6/1/2026,Aman Kumar ,15
247,Paracetamol,Painkiller,south,Hyderabad,300,25,3/6/2026,Priya Sharma,15
248,Glimepiride ,DIABETES,east,Bangalore,-15,120,4/3/2026,KARAN MEHTA,10
249,Diclofenac ,painkiller,SOUTH ,Kolkata,-5,100,4/7/2026,Sneha Gupta ,5
250,Ibuprofen,Painkiller,south,Hyderabad,50,15,1/14/2026,Divya Rao,0
251,Insulin,Diabetes,West,Pune,200,30.5,8/24/2026,Rohit Verma,5
252,omeprazole,Gastro ,south,Chennai,50,75,7/13/2026,aman kumar,5
253,INSULIN,diabetes,WEST,,,150,6/13/2026,DIVYA RAO,5
254,glimepiride,Diabetes,South,Bangalore,500,45,5/25/2026,Karan Mehta ,10
255, Glimepiride,Diabetes ,WEST,Delhi,250,15,3/14/2026,rohit verma,10
256,MULTIVITAMIN,SUPPLEMENT,west,Delhi,250,60,5/17/2026,Rohit Verma ,5
257,Insulin ,Diabetes ,EAST,Mumbai,100,30.5,5/18/2026,Sneha Gupta ,10
258,Ibuprofen,painkiller,NORTH,Delhi,500,20,6/28/2026,KARAN MEHTA,20
259,Metformin,diabetes,SOUTH ,Jaipur,100,60,8/13/2026,Rohit Verma,5
260,atorvastatin, Cholesterol,North ,Pune,75,150,17/07/2026,AMAN KUMAR,20
261, Amoxicillin, Antibiotic,South,Kolkata,50,20,6/5/2026,ROHIT VERMA,10
262,LORATADINE,ANTIHISTAMINE,north,Hyderabad,50,100,7/1/2026,sneha gupta,20
263,Ciprofloxacin,ANTIBIOTIC,SOUTH ,Pune,500,30.5,1/12/2026,Priya Sharma,
264,INSULIN,Diabetes,WEST,Hyderabad,,,4/3/2026,aman kumar,
265,amlodipine,Bp,NORTH,Jaipur,-5,30.5,6/22/2026,,20
266, Omeprazole,Gastro,South,Bangalore,250,15,3/5/2026,AMAN KUMAR,20
267,Paracetamol,painkiller,east,Kolkata,300,60,2/19/2026,,5
268,cetirizine,ANTIHISTAMINE,West,Pune,,15,4/25/2026,rohit verma,0
269,AMOXICILLIN,Antibiotic,west,Jaipur,20,15,4/23/2026,karan mehta,0
270,RANITIDINE,Gastro,West,Bangalore,-15,10.5,10/7/2026,Karan Mehta ,20
271,Loratadine ,antihistamine,South,,-15,60,21/06/2026,ROHIT VERMA,15
272,Aspirin,painkiller,South,Bangalore,,,5/22/2026,sneha gupta,20
273,GLIMEPIRIDE,diabetes,WEST,Kolkata,100,75,7/8/2026,priya sharma,15
274,aspirin,Painkiller,North ,Mumbai,150,15,4/25/2026,KARAN MEHTA,0
275,Amoxicillin,Antibiotic,East,Hyderabad,150,150,19/02/2026,aman kumar,20
276, Paracetamol,Painkiller,south,,150,20,2/17/2026,rohit verma,20
277,Pantoprazole, Gastro,north,Chennai,-15,30.5,3/13/2026,AMAN KUMAR,10
278,amoxicillin,antibiotic,north,Hyderabad,20,15,4/8/2026,Karan Mehta ,20
279,Pantoprazole,Gastro, East,Chennai,,30.5,4/1/2026,Divya Rao,10
280,insulin, Diabetes,East,Chennai,50,45,13/08/2026,AMAN KUMAR,
281,Paracetamol , Painkiller,EAST,Hyderabad,250,5,2/18/2026,Karan Mehta ,
282, Loratadine,Antihistamine ,West,Delhi,75,45,2/2/2026,ROHIT VERMA,
283,AMOXICILLIN,Antibiotic ,NORTH,Kolkata,-15,120,6/9/2026,rohit verma,15
284,atorvastatin,Cholesterol ,North,Bangalore,20,15,8/19/2026,Rohit Verma ,
285,Cetirizine,Antihistamine,West,Mumbai,10,120,3/8/2026,Aman Kumar ,20
286,VITAMIN C, Supplement,South,Kolkata,,25,8/17/2026,Aman Kumar,5
287, Losartan,BP ,North,Delhi,20,20,16/02/2026,Divya Rao,5
288, Vitamin C,Supplement ,NORTH,Hyderabad,50,150,7/26/2026,Karan Mehta ,5
289,Azithromycin, Antibiotic,EAST,Bangalore,10,10.5,8/4/2026,AMAN KUMAR,20
290,GLIMEPIRIDE,Diabetes,South,Chennai,-15,20,8/27/2026,Karan Mehta,10
291,ATORVASTATIN,cholesterol,West,Mumbai,10,20,8/10/2026,ROHIT VERMA,
292, Multivitamin,SUPPLEMENT,SOUTH ,Pune,50,45,5/6/2026,Karan Mehta,0
293,Pantoprazole,Gastro,South,,,50,8/15/2026,Rohit Verma,0
294,AMOXICILLIN,Antibiotic ,EAST,Delhi,250,8,8/6/2026,aman kumar,20
295,Metformin,diabetes,east,Hyderabad,10,60,5/13/2026,rohit verma,15
296,AMLODIPINE,BP,South,Bangalore,75,60,6/15/2026,DIVYA RAO,15
297, Aspirin,PAINKILLER,NORTH,,75,150,3/8/2026,KARAN MEHTA,5
298,Diclofenac,PAINKILLER,West,Hyderabad,-15,60,6/14/2026,rohit verma,0
299, Metformin, Diabetes,North,Jaipur,100,50,7/14/2026,Priya Sharma,10
300,Glimepiride,Diabetes ,north,,150,120,5/20/2026,AMAN KUMAR,10
301,metformin,Antibiotic,west,Hyderabad,250,30.5,24/06/2026,Priya Sharma,
302,RANITIDINE,Gastro,south,Pune,10,,1/22/2026,AMAN KUMAR,
303,LOSARTAN,BP ,south,Hyderabad,75,120,3/24/2026,Priya Sharma ,5
304, Multivitamin,Supplement,West,Bangalore,,120,4/20/2026,PRIYA SHARMA,15
305,Glimepiride,Diabetes ,WEST,Delhi,,15,7/3/2026,Rohit Verma,
306,Diclofenac,painkiller,west,Mumbai,10,5,1/19/2026,Aman Kumar ,10
307,vitamin c, Supplement,South,Chennai,300,10.5,6/16/2026,Priya Sharma,20
308,Multivitamin,Supplement,South,Delhi,100,15,16/05/2026,Priya Sharma ,15
309,Azithromycin,Antibiotic,East,Jaipur,75,10.5,5/4/2026,Priya Sharma,20
310,multivitamin,SUPPLEMENT,west,Delhi,,8,1/20/2026,KARAN MEHTA,10
311,Losartan,Bp,west,Jaipur,500,10.5,6/8/2026,,10
